Universidad;Consejo_Rectores;Acreditacion;Edad;Anos_Acreditacion_Investigacion;Produccion_2018;Produccion_2008;Produccion_Pais_2018;Produccion_Pais_2008;Fondecyt_2018;Fondecyt_2008;Fondecyt_Pais_2018;Fondecyt_Pais_2008;Dr_JCE_2018;Dr_JCE_2008;Dr_JCE_Pais_2018;Dr_JCE_Pais_2008
UNIVERSIDAD DE CHILE;CRUCH;Acreditada;175;14;25632;1540;0.20442148;0.26722193;88;115;0.17495030;0.28048781;1215;600;0.12464302;0.06158923
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CRUCH;Acreditada;129;14;22000;1202;0.17545539;0.20857192;98;79;0.19483101;0.19268293;1060;631;0.10873586;0.06477136
UNIVERSIDAD DE CONCEPCION;CRUCH;Acreditada;98;14;10754;663;0.08576578;0.11504425;30;44;0.05964215;0.10731707;771;507;0.07911836;0.05202418
UNIVERSIDAD ANDRES BELLO;NO CRUCH;Acreditada;29;10;4523;99;0.03607203;0.01717855;25;3;0.04970179;0.00731707;410;163;0.04210582;0.01674613
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;CRUCH;Acreditada;89;14;4772;175;0.03805787;0.03036613;30;16;0.05964215;0.03902439;417;190;0.04280486;0.01949799
UNIVERSIDAD MAYOR;NO CRUCH;No Acreditada;29;0;822;6;0.00655565;0.00104112;2;0;0.00397614;0.00000000;201;0;0.02057894;0.00000000
UNIVERSIDAD ADOLFO IBAÑEZ;NO CRUCH;Acreditada;29;3;1533;30;0.01222605;0.00520562;11;2;0.02186879;0.00487805;252;57;0.02588149;0.00585765
UNIVERSIDAD DE SANTIAGO DE CHILE;CRUCH;Acreditada;36;14;5366;278;0.04279516;0.04823877;27;29;0.05367793;0.07073171;487;293;0.04992810;0.03005126
UNIVERSIDAD AUTONOMA DE CHILE;NO CRUCH;Acreditada;28;3;2242;2;0.01788050;0.00034704;5;0;0.00994036;0.00000000;193;11;0.01982917;0.00113573
UNIVERSIDAD AUSTRAL DE CHILE;CRUCH;Acreditada;63;14;5296;252;0.04223690;0.04372723;19;21;0.03777336;0.05121951;411;239;0.04214080;0.02451722
UNIVERSIDAD DE VALPARAISO;CRUCH;Acreditada;36;9;3540;138;0.02823237;0.02394586;14;6;0.02783300;0.01463415;266;97;0.02724763;0.00993002
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;CRUCH;Acreditada;86;13;5129;216;0.04090503;0.03748048;17;15;0.03379722;0.03658537;269;120;0.02760726;0.01229709
UNIVERSIDAD DIEGO PORTALES;NO CRUCH;Acreditada;35;5;2918;111;0.02327176;0.01926080;16;7;0.03180915;0.01707317;194;45;0.01985632;0.00466184
UNIVERSIDAD DEL BIO-BIO;CRUCH;Acreditada;29;9;1818;82;0.01449900;0.01422870;9;7;0.01789264;0.01707317;247;100;0.02530080;0.01028217
UNIVERSIDAD DE TALCA;CRUCH;Acreditada;36;14;2991;119;0.02385396;0.02064897;17;10;0.03379722;0.02439024;257;136;0.02639222;0.01396920
UNIVERSIDAD SAN SEBASTIAN;NO CRUCH;No Acreditada;28;0;1042;1;0.00831021;0.00017352;2;0;0.00397614;0.00000000;130;14;0.01333739;0.00142805
UNIVERSIDAD DE LA FRONTERA;CRUCH;Acreditada;36;14;3953;144;0.03152614;0.02498699;13;10;0.02584493;0.02439024;216;107;0.02221312;0.01094681
UNIVERSIDAD CATOLICA DE TEMUCO;CRUCH;Acreditada;26;3;991;33;0.00790347;0.00572618;6;2;0.01192843;0.00487805;161;52;0.01654965;0.00529384
UNIVERSIDAD DE LOS ANDES;NO CRUCH;Acreditada;28;6;1572;28;0.01253709;0.00485858;7;5;0.01391650;0.01219512;172;69;0.01763524;0.00711986
UNIVERSIDAD CATOLICA DEL MAULE;CRUCH;No Acreditada;26;0;746;17;0.00594953;0.00294985;2;0;0.00397614;0.00000000;147;45;0.01504196;0.00459654
UNIVERSIDAD DEL DESARROLLO;NO CRUCH;Acreditada;27;2;1503;42;0.01198679;0.00728787;7;0;0.01391650;0.00000000;134;34;0.01371034;0.00345382
UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;CRUCH;No Acreditada;26;0;992;33;0.00791144;0.00572618;3;3;0.00596422;0.00731707;150;53;0.01536145;0.00543843
UNIVERSIDAD ALBERTO HURTADO;NO CRUCH;Acreditada;20;4;569;18;0.00453791;0.00312337;8;3;0.01590457;0.00731707;138;49;0.01416509;0.00497900
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;CRUCH;No Acreditada;36;0;504;3;0.00401952;0.00052056;5;0;0.00994036;0.00000000;123;40;0.01258825;0.00405981
UNIVERSIDAD SANTO TOMAS;NO CRUCH;No Acreditada;29;0;628;17;0.00500845;0.00294985;3;1;0.00596422;0.00243902;98;19;0.01004173;0.00199160
UNIVERSIDAD CATOLICA DEL NORTE;CRUCH;Acreditada;61;13;3452;159;0.02753055;0.02758980;12;8;0.02385686;0.01951220;218;143;0.02241461;0.01471780
UNIVERSIDAD CENTRAL DE CHILE;NO CRUCH;No Acreditada;35;0;380;1;0.00303059;0.00017352;0;0;0.00000000;0.00000000;91;16;0.00928637;0.00162695
UNIVERSIDAD DE ANTOFAGASTA;CRUCH;Acreditada;36;9;1731;82;0.01380515;0.01422870;2;3;0.00397614;0.00731707;150;77;0.01536787;0.00791907
UNIVERSIDAD BERNARDO O HIGGINS;NO CRUCH;No Acreditada;28;0;437;0;0.00348518;0.00000000;1;0;0.00198807;0.00000000;69;3;0.00705223;0.00035215
